,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iou0,iou1,iou2
0,0.32245513796806335,0.3709198236465454,0.7979509234428406,0.5418167114257812,,,
1,0.34128233790397644,0.3570965826511383,0.7955871224403381,0.5283681750297546,0.8171002467980356,,
2,0.33249956369400024,0.3693296015262604,0.7884385585784912,0.5478079915046692,0.8074866651281131,0.8171002467980356,
3,0.32321223616600037,0.37624284625053406,0.7959821224212646,0.5513710975646973,0.9101294151932743,0.8074866651281131,0.8171002467980356
4,0.32592087984085083,0.3625733256340027,0.7905826568603516,0.5363404750823975,0.8344778022507915,0.9101294151932743,0.8074866651281131
5,0.3383314609527588,0.3714492917060852,0.7856631875038147,0.5594264268875122,0.8099377680807911,0.8344778022507915,0.9101294151932743
6,0.3111749291419983,0.29854756593704224,0.5869781970977783,0.4380173087120056,,,
7,0.318747878074646,0.29829317331314087,0.5947877764701843,0.4392383098602295,0.9361237806284903,,
8,0.3213406801223755,0.28946423530578613,0.5950294733047485,0.42918887734413147,0.8655176705189978,0.9361237806284903,
9,0.32059532403945923,0.28897926211357117,0.5945607423782349,0.4286222755908966,0.9881258777138754,0.8655176705189978,0.9361237806284903
10,0.3248671889305115,0.2928404211997986,0.5963305830955505,0.43135833740234375,0.9332086816668197,0.9881258777138754,0.8655176705189978
11,0.31918519735336304,0.2974422872066498,0.5953829288482666,0.43854984641075134,0.8978101609210081,0.9332086816668197,0.9881258777138754
12,0.325330913066864,0.29408860206604004,0.596327543258667,0.43056097626686096,0.8985407096297968,0.8978101609210081,0.9332086816668197
13,0.30398231744766235,0.2889348864555359,0.5817937850952148,0.4280675947666168,0.8324689512239568,0.8985407096297968,0.8978101609210081
14,0.32401788234710693,0.29226088523864746,0.5969763398170471,0.43171122670173645,0.8393296591808348,0.8324689512239568,0.8985407096297968
15,0.3222460448741913,0.29154151678085327,0.5951476097106934,0.43152764439582825,0.9805785407822835,0.8393296591808348,0.8324689512239568
16,0.32347995042800903,0.2982512414455414,0.5939125418663025,0.4354548454284668,0.9179361677752172,0.9805785407822835,0.8393296591808348
17,0.30823200941085815,0.29412809014320374,0.5814944505691528,0.433219313621521,0.8643477815848138,0.9179361677752172,0.9805785407822835
18,0.3220938444137573,0.29917392134666443,0.5930808186531067,0.4358818233013153,0.8631791494599971,0.8643477815848138,0.9179361677752172
